id,title,doi
10.1148/radiology.200.3.8756939,"Patellar tendinosis (jumper's knee): findings at histopathologic examination, US, and MR imaging. Victorian Institute of Sport Tendon Study Group.",10.1148/radiology.200.3.8756939
10.1186/1471-2296-6-29,Pragmatic application of a clinical prediction rule in primary care to identify patients with low back pain with a good prognosis following a brief spinal manipulation intervention,10.1186/1471-2296-6-29
10.1186/1746-1340-16-8,Lung cancer metastasis to the scapula and spine: a case report,10.1186/1746-1340-16-8
10.1186/s12891-020-03873-3,Changes in pain sensitivity and spinal stiffness in relation to responder status following spinal manipulative therapy in chronic low Back pain: a secondary explorative analysis of a randomized trial,10.1186/s12891-020-03873-3
10.12775/mbs.2016.008,Tendinopathy of the long head of the biceps tendon – physical examination confronted with shoulder arthroscopy findings,10.12775/mbs.2016.008
10.12982/jams.2024.050,Factors associated with musculoskeletal pain in ambulatory individuals with spinal cord injury,10.12982/jams.2024.050
10.1371/journal.pone.0265970,Derivation of clinical prediction rules for identifying patients with non-acute low back pain who respond best to a lumbar stabilization exercise program at post-treatment and six-month follow-up,10.1371/journal.pone.0265970
10.1589/jpts.27.1937,Effects of flexion-distraction manipulation therapy on pain and disability in patients with lumbar spinal stenosis,10.1589/jpts.27.1937
10.21203/rs.3.rs-536100/v1,Comparison of Prevalence of Degenerative Findings on Lumbar MRI among Sciatica Patients classified using the McKenzie Method.,10.21203/rs.3.rs-536100/v1
10.2302/kjm.32.59,The natural course of gonarthritis.,10.2302/kjm.32.59
10.2519/jospt.2011.3632,Association Between Changes in Abdominal and Lumbar Multifidus Muscle Thickness and Clinical Improvement After Spinal Manipulation,10.2519/jospt.2011.3632
10.2522/ptj.20060192,Preliminary Examination of a Proposed Treatment-Based Classification System for Patients Receiving Physical Therapy Interventions for Neck Pain,10.2522/ptj.20060192
10.2522/ptj.20100272,Evaluation of a Treatment-Based Classification Algorithm for Low Back Pain: A Cross-Sectional Study,10.2522/ptj.20100272
10.3390/ijerph182413078,Effects of Different Types of Contraction Exercises on Shoulder Function and Muscle Strength in Patients with Adhesive Capsulitis,10.3390/ijerph182413078
10.4314/tjpr.v23i5.13,Clinical effect of suspension training and Mulligan technique in combination with celecoxib in the treatment of chronic non-specific lower back pain,10.4314/tjpr.v23i5.13
10.61919/jhrr.v4i2.1168,Comparison of Mulligan Mobilization with Movement and  Progressive Strengthening Exercises in Patient with Lateral  Epicondylitis,10.61919/jhrr.v4i2.1168
10.1002/ijgo.14045,"Effect of birth ball abdominal core training on pregnancy fatigue, waist pain and delivery outcomes",10.1002/ijgo.14045
10.1002/j.1532-2149.2011.00023.x,Within‐session sensitization and between‐session habituation: A robust physiological response to repetitive painful heat stimulation,10.1002/j.1532-2149.2011.00023.x
10.1002/mus.10549,Effect of static stretch training on neural and mechanical properties of the human plantar‐flexor muscles,10.1002/mus.10549
10.1002/nop2.1437,Elements of patient satisfaction: An integrative review,10.1002/nop2.1437
10.1002/nur.4770080119,"Benner, P. (1984). From novice to expert, excellence and power in clinical nursing practice. Menlo Park, CA: Addison‐Wesley Publishing Company, 307 pp., $12.95 (soft cover)",10.1002/nur.4770080119
10.1007/bf00268043,The anatomical pattern of gonarthrosis in Saudi Arabia,10.1007/bf00268043
10.1007/bf00268173,Rotational alignment of the lower limb in osteoarthritis of the knee,10.1007/bf00268173
10.1007/bf00438677,"Calcifying tendinitis, an active cell-mediated calcification",10.1007/bf00438677
10.1007/bf01742729,Résultats des prothèses unicompartimentales PCA du genou,10.1007/bf01742729
10.1007/s00038-019-01211-6,Direct healthcare costs of spinal disorders in Brazil,10.1007/s00038-019-01211-6
10.1007/s00192-019-03937-6,Perineal massage and training reduce perineal trauma in pregnant women older than 35 years: a randomized controlled trial,10.1007/s00192-019-03937-6
10.1007/s00404-011-1919-5,Reducing perineal trauma through perineal massage with vaseline in second stage of labor,10.1007/s00404-011-1919-5
10.1007/s00421-019-04159-w,The effects of 6 weeks of constant-angle muscle stretching training on flexibility and muscle function in men with limited hamstrings’ flexibility,10.1007/s00421-019-04159-w
10.1007/s00586-006-0117-9,"Danish version of the Oswestry Disability Index for patients with low back pain. Part 1: Cross-cultural adaptation, reliability and validity in two different populations",10.1007/s00586-006-0117-9
10.1007/s00586-016-4917-2,Application of a modified thoracoabdominal approach that avoids cutting open the costal portion of diaphragm during anterior thoracolumbar spine surgery,10.1007/s00586-016-4917-2
10.1007/s00586-017-5121-8,National clinical guidelines for non-surgical treatment of patients with recent onset neck pain or cervical radiculopathy,10.1007/s00586-017-5121-8
10.1007/s00586-018-5742-6,Cost of low back pain: results from a national register study in Sweden,10.1007/s00586-018-5742-6
10.1097/corr.0000000000001949,What Factors Are Associated with Symptomatic Rotator Cuff Tears: A Meta-analysis,10.1097/corr.0000000000001949
10.1097/ede.0b013e3181c30fb2,Assessing the Performance of Prediction Models,10.1097/ede.0b013e3181c30fb2
10.1097/j.pain.0000000000000507,Do we need a third mechanistic descriptor for chronic pain states?,10.1097/j.pain.0000000000000507
10.1111/acem.12811,"An Observational Study of 2,248 Patients Presenting With Headache, Suggestive of Subarachnoid Hemorrhage, Who Received Lumbar Punctures Following Normal Computed Tomography of the Head",10.1111/acem.12811
10.1111/acem.13011,Techniques for Improving Video Laryngoscopy With a Hyperangulated Blade,10.1111/acem.13011
10.1111/cpf.12186,Responses to static stretching are dependent on stretch intensity and duration,10.1111/cpf.12186
10.1111/cpf.12263,Unilateral static and dynamic hamstrings stretching increases contralateral hip flexion range of motion,10.1111/cpf.12263
10.1111/ene.13166,"Chiropractic spinal manipulative therapy for migraine: a three‐armed, single‐blinded, placebo, randomized controlled trial",10.1111/ene.13166
10.1111/iep.12029,Continuum model of tendon pathology – where are we now?,10.1111/iep.12029
10.1111/papr.12253,Treatment Considerations for Cancer Pain: A Global Perspective,10.1111/papr.12253
10.1111/pme.12052,"Not a Placebo, but Is It Effective?",10.1111/pme.12052
10.1111/sms.12111,Effect of a 5‐week static stretching program on hardness of the gastrocnemius muscle,10.1111/sms.12111
10.1111/sms.12957,Can chronic stretching change the muscle‐tendon mechanical properties? A review,10.1111/sms.12957
10.1136/bjsm.2007.038406,Physical examination tests of the shoulder: a systematic review with meta-analysis of individual tests,10.1136/bjsm.2007.038406
10.1136/bjsm.2008.051193,Is tendon pathology a continuum? A pathology model to explain the clinical presentation of load-induced tendinopathy,10.1136/bjsm.2008.051193
10.1136/bjsm.2011.084079,Risk factors for patellar tendinopathy: a systematic review of the literature,10.1136/bjsm.2011.084079
10.1136/bjsm.36.6.392,Understanding tendinopathies: Figure 1,10.1136/bjsm.36.6.392
10.1136/bmj.b2535,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,10.1136/bmj.b2535
10.1136/bmj.g1687,Better reporting of interventions: template for intervention description and replication (TIDieR) checklist and guide,10.1136/bmj.g1687
10.1136/bmj.l5358,Prognostic models for outcome prediction in patients with chronic obstructive pulmonary disease: systematic review and critical appraisal,10.1136/bmj.l5358
10.1136/bmj.l540,"Improve scheduling to perform an extra 291 000 elective operations a year, trusts are told",10.1136/bmj.l540
10.1136/bmj.n71,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,10.1136/bmj.n71
10.11591/edulearn.v19i1.21209,"The comparative study of general intelligence and scholastic in urban, highland and coastal students",10.11591/edulearn.v19i1.21209
10.11591/edulearn.v19i1.21853,An analysis of first years senior high school students' mental models: a case study on the concept of straight motion,10.11591/edulearn.v19i1.21853
10.11604/pamj.2017.27.108.10036,Le profil épidémiologique des complications maternelles de la césarienne au CHR EL Farabi Oujda,10.11604/pamj.2017.27.108.10036
10.1177/0194599816689667,Clinical Practice Guideline: Benign Paroxysmal Positional Vertigo (Update),10.1177/0194599816689667
10.1177/0333102419869317,Vestibular migraine: An update on current understanding and future directions,10.1177/0333102419869317
10.1177/0363546503261422,Athletic Injuries of the Wrist and Hand,10.1177/0363546503261422
10.1177/0363546519878141,Partial-Thickness Rotator Cuff Tear by Itself Does Not Cause Shoulder Pain or Muscle Weakness in Baseball Players,10.1177/0363546519878141
10.1177/1753193411407671,Effects of forearm muscles on carpal stability,10.1177/1753193411407671
10.1177/1753193415613050,Conservative management of midcarpal instability,10.1177/1753193415613050
10.1177/23259671211003675,Correlation of Ultrasound Findings With Clinical Stages and Impairment in Adhesive Capsulitis of the Shoulder,10.1177/23259671211003675
10.1186/1471-2288-7-10,Development of AMSTAR: a measurement tool to assess the methodological quality of systematic reviews,10.1186/1471-2288-7-10
10.1186/1471-2474-10-13,Depression and anxiety as major determinants of neck pain: a cross-sectional study in general practice,10.1186/1471-2474-10-13
10.1186/1471-2474-5-32,Scoliosis treatment using a combination of manipulative and rehabilitative therapy: a retrospective case series,10.1186/1471-2474-5-32
10.1186/1471-2474-9-19,The influence of expectation on spinal manipulation induced hypoalgesia: An experimental study in normal subjects,10.1186/1471-2474-9-19
10.1186/2045-709x-22-8,Subtle clinical signs of a meningioma in an adult: a case report,10.1186/2045-709x-22-8
10.1186/s10194-018-0854-2,The epidemiology of headache disorders: a face-to-face interview of participants in HUNT4,10.1186/s10194-018-0854-2
10.1186/s12874-018-0611-x,Systematic review or scoping review? Guidance for authors when choosing between a systematic or scoping review approach,10.1186/s12874-018-0611-x
10.1186/s12877-023-04011-z,"Association between physical performance during sit-to-stand motion and frailty in older adults with cardiometabolic diseases: a cross-sectional, longitudinal study",10.1186/s12877-023-04011-z
10.1186/s12891-019-2543-y,Reliability of a new loaded rolling wheel system for measuring spinal stiffness in asymptomatic participants,10.1186/s12891-019-2543-y
10.1186/s12998-014-0047-2,"Public health engagement: detection of suspicious skin lesions, screening and referral behaviour of UK based chiropractors",10.1186/s12998-014-0047-2
10.1186/s12998-016-0106-y,The boot camp program for lumbar spinal stenosis: a protocol for a randomized controlled trial,10.1186/s12998-016-0106-y
10.1186/s12998-017-0140-4,Primary prevention in chiropractic practice: a systematic review,10.1186/s12998-017-0140-4
10.1186/s12998-017-0153-z,The comfort and safety of a novel rolling mechanical indentation device for the measurement of lumbar trunk stiffness in young adults,10.1186/s12998-017-0153-z
10.1186/s12998-017-0168-5,What are the risks of manual treatment of the spine? A scoping review for clinicians,10.1186/s12998-017-0168-5
10.1186/s12998-018-0179-x,Effect of chiropractic treatment on primary or early secondary prevention: a systematic review with a pedagogic approach,10.1186/s12998-018-0179-x
10.1186/s12998-018-0181-3,The regional effect of spinal manipulation on the pressure pain threshold in asymptomatic subjects: a systematic literature review,10.1186/s12998-018-0181-3
10.1186/s12998-021-00371-8,The effect of chiropractic care on infantile colic: results from a single-blind randomised controlled trial,10.1186/s12998-021-00371-8
10.1186/s12998-021-00377-2,Inter-examinerreliability study of physical examination procedures to assess the cervical spine,10.1186/s12998-021-00377-2
10.1186/s40634-020-00307-w,The puzzling pathophysiology of frozen shoulders – a scoping review,10.1186/s40634-020-00307-w
10.1186/s40814-022-01127-8,Are progressive shoulder exercises feasible in patients with glenohumeral osteoarthritis or rotator cuff tear arthropathy?,10.1186/s40814-022-01127-8
10.1186/s41512-019-0060-y,Methodological standards for the development and evaluation of clinical prediction rules: a review of the literature,10.1186/s41512-019-0060-y
10.1196/annals.1351.019,Epidemiological Aspects of Rheumatoid Arthritis,10.1196/annals.1351.019
10.12659/ajcr.936984,Conservative Management of Low Back Pain Related to an Unresectable Aggressive Sacral Hemangioma: A Case Report,10.12659/ajcr.936984
10.12659/ajcr.937609,Metastatic Recurrent Breast Cancer Identified in the Chiropractic Office: Case Report and Literature Review,10.12659/ajcr.937609
10.12968/hmed.2019.0051,Assessing wrist pain: a simple guide,10.12968/hmed.2019.0051
10.1371/journal.pmed.1001380,Prognosis Research Strategy (PROGRESS) 2: Prognostic Factor Research,10.1371/journal.pmed.1001380
10.1371/journal.pmed.1001381,Prognosis Research Strategy (PROGRESS) 3: Prognostic Model Research,10.1371/journal.pmed.1001381
10.1371/journal.pone.0032844,Search Filters for Finding Prognostic and Diagnostic Prediction Studies in Medline to Enhance Systematic Reviews,10.1371/journal.pone.0032844
10.1503/cmaj.090449,"AGREE II: advancing guideline development, reporting and evaluation in health care",10.1503/cmaj.090449
10.1504/ijbem.2028.10066877,Tourism and sustainable development goals:  a systematic literature review,10.1504/ijbem.2028.10066877
10.1504/ijbpm.2027.10070129,Performance metrics of AI marketing tools in customer satisfaction: a comprehensive systematic review,10.1504/ijbpm.2027.10070129
10.1504/ijiei.2027.10069844,The Systematic Literature Review on Live-Face Detection and Recognition using Enhanced AI Techniques,10.1504/ijiei.2027.10069844
10.1542/peds.2006-1392,Adverse Events Associated With Pediatric Spinal Manipulation: A Systematic Review,10.1542/peds.2006-1392
10.15556/ijiim.01.01.001,THE ROLE OF FINANCIAL STATEMENT ANALYSIS IN THE DECISION MAKING PROCEDURES OF HOTEL UNITS,10.15556/ijiim.01.01.001
10.15556/ijiim.02.02.001,A study of KM critical success factors in Greek academic libraries,10.15556/ijiim.02.02.001
10.15556/ijsim.02.02.004,Meta-calculations of Quantitative SWOT Analysis: A Crosstab Approach,10.15556/ijsim.02.02.004
10.15556/ijsim.03.02.004,Conflict Management Research and Cross-Functional Relationships: An Integrative Review and Synthesis,10.15556/ijsim.03.02.004
10.15556/ijsim.03.03.003,Factors affecting “resistance to change”: an explanatory study conducted in the healthcare sector,10.15556/ijsim.03.03.003
10.1589/jpts.28.1219,Acute effect of scapular proprioceptive neuromuscular facilitation (PNF) techniques and classic exercises in adhesive capsulitis: a randomized controlled trial,10.1589/jpts.28.1219
10.20431/2349-0381.0303004,The Relationship between Long-Term Incentives and Corporate Performance: A Theoretical Review,10.20431/2349-0381.0303004
10.20944/preprints202406.1887.v1,Ammonia Emissions and Building-Related Mitigation Strategies in Dairy Barns: A Review,10.20944/preprints202406.1887.v1
10.21105/joss.01686,Welcome to the Tidyverse,10.21105/joss.01686
10.21276/ijchmr.2016.2.2.10,Giant Cells in Health and Disease-A Review,10.21276/ijchmr.2016.2.2.10
10.21276/ijchmr.2016.2.2.11,Behavioral Screening Tests to Detect Hearing Loss in School Aged Children: A Review,10.21276/ijchmr.2016.2.2.11
10.21276/ijchmr.2016.2.2.12,Glaucoma: Risk Factors and Prevalence: A Review,10.21276/ijchmr.2016.2.2.12
10.2519/jospt.2004.34.10.601,Pronator Syndrome and Other Nerve Compressions That Mimic Carpal Tunnel Syndrome,10.2519/jospt.2004.34.10.601
10.2519/jospt.2005.35.1.24,The MedRisk Instrument for Measuring Patient Satisfaction With Physical Therapy Care: A Psychometric Analysis,10.2519/jospt.2005.35.1.24
10.2519/jospt.2008.0303,Neck Pain,10.2519/jospt.2008.0303
10.2519/jospt.2009.3088,The Effect of Averaging Multiple Trials on Measurement Error During Ultrasound Imaging of Transversus Abdominis and Lumbar Multifidus Muscles in Individuals With Low Back Pain,10.2519/jospt.2009.3088
10.2519/jospt.2009.3128,Changes in Lateral Abdominal Muscle Thickness During the Abdominal Drawing-in Maneuver in Those With Lumbopelvic Pain,10.2519/jospt.2009.3128
10.2519/jospt.2013.0104,What's in a Name? Using Movement System Diagnoses Versus Pathoanatomic Diagnoses,10.2519/jospt.2013.0104
10.2519/jospt.2015.5987,"Patellar Tendinopathy: Clinical Diagnosis, Load Management, and Advice for Challenging Case Presentations",10.2519/jospt.2015.5987
10.2519/jospt.2016.0602,"Know Pain, Know Gain? A Perspective on Pain Neuroscience Education in Physical Therapy",10.2519/jospt.2016.0602
10.2519/jospt.2016.6366,Lumbar Thrust Manipulation and Exercise for the Treatment of Mechanical Low Back Pain in Adolescents: A Case Series,10.2519/jospt.2016.6366
10.2519/jospt.2017.0302,Neck Pain: Revision 2017,10.2519/jospt.2017.0302
10.2519/jospt.2018.0608,The Role and Value of Symptom-Modification Approaches in Musculoskeletal Practice,10.2519/jospt.2018.0608
10.2519/jospt.2021.0105,JOSPT Names 2020 Award Recipients,10.2519/jospt.2021.0105
10.2519/jospt.2021.0507,Clinical Guidelines to Address Low Back Pain: Using the Evidence to Guide Physical Therapist Practice,10.2519/jospt.2021.0507
10.2519/josptopen.2023.1134,Adding Manual Therapy to an Exercise Program Improves Long-Term Patient Outcomes Over Exercise Alone in Patients With Subacromial Shoulder Pain: A Randomized Clinical Trial,10.2519/josptopen.2023.1134
10.2522/ptj.20080351,A Guide to Interpretation of Studies Investigating Subgroups of Responders to Physical Therapy Interventions,10.2522/ptj.20080351
10.2522/ptj.20100061,Patient Satisfaction With Musculoskeletal Physical Therapy Care: A Systematic Review,10.2522/ptj.20100061
10.2522/ptj.20100280,"Psychosocial Influences on Low Back Pain, Disability, and Response to Treatment",10.2522/ptj.20100280
10.25259/jassm_26_2024,The straight head of rectus femoris: An underdiagnosed cause of chronic pain post hip replacement,10.25259/jassm_26_2024
10.3138/ptc.2014-37f,Une version franco-canadienne de la <i>Physiotherapy Evidence Database (PEDro) Scale</i> : L'Échelle PEDro,10.3138/ptc.2014-37f
10.31616/asj.2022.0366,Lumbar Spinal Stenosis: Review Update 2022,10.31616/asj.2022.0366
10.31729/jnma.4282,Prevalence of Cesarean Section and Its Indications in A Tertiary Care Hospital,10.31729/jnma.4282
10.31851/indiktika.v7i2.20054,Trends and Strategies in Implementing RME and PJBL for Teaching Central Tendency: A Systematic Literature Review,10.31851/indiktika.v7i2.20054
10.32382/fis.v16i1.725,MULLIGAN TRACTION STRAIGHT LEG RAISE TERHADAP PENINGKATAN RANGE OF MOTION DAN PENURUNAN NYERI PADA PENDERITA LOW BACK PAIN NON SPESIFIK,10.32382/fis.v16i1.725
10.32598/jaehr.9.4.1219,"Investigating the Non-carcinogenic Risk and Hazard Quotient of Heavy Metals in High-traffic Districts of Tehran Metropolis, Iran",10.32598/jaehr.9.4.1219
10.32598/jaehr.9.4.1229,Investigation and Optimization of Air Pollution Risk by a Multi-criteria Decision Making Method Using Fuzzy TOPSIS: A Case Study of Construction Workers,10.32598/jaehr.9.4.1229
10.32598/jaehr.9.4.1233,"Assessment of Human Health Risk and Surface Soil Contamination by Some Toxic Elements in Arak City, Iran",10.32598/jaehr.9.4.1233
10.32598/jccnc.7.1.354.1,"Effects of Integrative Behavioral Couple Therapy on Infertility Self-efficacy, Dyadic Adjustment, and Sexual Satisfaction in Infertile Couples",10.32598/jccnc.7.1.354.1
10.32598/jccnc.7.1.356.1,Comparing of the Effects of Acceptance and Commitment Therapy and Emotion Regulation Training on Diabetes Empowerment,10.32598/jccnc.7.1.356.1
10.32598/jccnc.7.1.357.1,The Effects of Emotional Schema Therapy and Differentiation Training on Emotional Divorce in Women,10.32598/jccnc.7.1.357.1
